title,from_date,emp_no,last_name,first_name,salary
Assistant Engineer,1985-02-04,88830,Auria,Shih,58314
Assistant Engineer,1985-02-08,233010,Khamsi,Nirmal,43088
Assistant Engineer,1985-02-08,441506,Underwood,Kwun,40000
Assistant Engineer,1985-02-09,451920,Luck,Shigeichiro,46645
Assistant Engineer,1985-02-12,56163,Thisen,Huiqun,52746
Assistant Engineer,1985-02-13,471391,Ghandeharizadeh,Janche,40815
Assistant Engineer,1985-02-14,417436,Quittner,Avishai,68157
Assistant Engineer,1985-02-17,253047,Manders,Hausi,40000
Assistant Engineer,1985-02-17,290158,Dredge,Irena,47017
Assistant Engineer,1985-02-17,433848,Hanratty,Arun,42940
Assistant Engineer,1985-02-18,10009,Peac,Sumant,60929
Assistant Engineer,1985-02-18,468160,Fendler,Remko,40000
Assistant Engineer,1985-02-18,488180,Arlazarov,Kwangyoen,41690
Assistant Engineer,1985-02-20,243005,Moffat,Leszek,56289
Assistant Engineer,1985-02-21,35226,Felcyn,Byong,53616
Assistant Engineer,1985-02-21,480463,Slaats,Mokhtar,66127
Assistant Engineer,1985-02-22,73222,Gurbaxani,Kendra,40000
Assistant Engineer,1985-02-23,437166,Ariola,Gennady,66763
Assistant Engineer,1985-02-23,481652,Debuse,Roddy,59516
Assistant Engineer,1985-02-26,247919,Piveteau,Volkmar,48862
Assistant Engineer,1985-03-01,230468,Zweizig,Takahito,44739
Assistant Engineer,1985-03-02,258861,Aamodt,Sigeru,40000
Assistant Engineer,1985-03-03,418811,Unni,Xiaopeng,56539
Assistant Engineer,1985-03-04,107425,Bojadziev,Khaled,60401
Assistant Engineer,1985-03-04,401599,Varker,Erzsebet,47502
Assistant Engineer,1985-03-04,418766,Viele,Mana,53838
Assistant Engineer,1985-03-05,296361,Broomell,Yonghoan,57416
Assistant Engineer,1985-03-09,66226,Baba,Deniz,60584
Assistant Engineer,1985-03-11,495925,Bage,Guttorm,41635
Assistant Engineer,1985-03-12,280238,Rodier,Aria,40000
Assistant Engineer,1985-03-14,16803,Rohrbach,Ziva,50968
Assistant Engineer,1985-03-15,404433,Hemaspaandra,Arve,51869
Assistant Engineer,1985-03-16,48243,Riesenhuber,Juyoung,42176
Assistant Engineer,1985-03-17,421358,Litecky,KayLiang,49431
Assistant Engineer,1985-03-20,33018,Baer,Christophe,47993
Assistant Engineer,1985-03-20,432915,Staudhammer,Guangming,77488
Assistant Engineer,1985-03-21,204560,Badache,Sariel,69114
Assistant Engineer,1985-03-22,433880,Peek,Arumugam,40000
Assistant Engineer,1985-03-23,419180,Rettelbach,Shigeaki,80594
Assistant Engineer,1985-03-24,472066,Schurmann,Hugo,54234
Assistant Engineer,1985-03-26,269399,Iacovou,Danny,40000
Assistant Engineer,1985-03-26,279300,Bondorf,Tomokazu,40000
Assistant Engineer,1985-03-26,292800,Guerreiro,Shigenori,42541
Assistant Engineer,1985-03-27,12206,Janetzko,Barton,40000
Assistant Engineer,1985-03-28,414472,Roisin,Alassane,52081
Assistant Engineer,1985-03-29,225770,Khasidashvili,Visit,61565
Assistant Engineer,1985-03-30,61722,Wendorf,Oddvar,40000
Assistant Engineer,1985-03-31,250477,Rando,Pascal,83282
Assistant Engineer,1985-04-03,286260,Plotkin,Suvo,52663
Assistant Engineer,1985-04-04,252680,Sewelson,Martina,40000
Assistant Engineer,1985-04-06,264446,Kroha,Katsuo,56131
Assistant Engineer,1985-04-11,105786,Goodrum,Ymte,40000
Assistant Engineer,1985-04-15,223413,Gist,Jingling,50239
Assistant Engineer,1985-04-15,443409,Krybus,Elliott,40000
Assistant Engineer,1985-04-17,82835,Dredge,Jaber,40000
Assistant Engineer,1985-04-17,100358,Falby,Lucian,40000
Assistant Engineer,1985-04-17,233194,Taneja,Masaki,41489
Assistant Engineer,1985-04-17,461711,Dulay,Evgueni,66920
Assistant Engineer,1985-04-18,45788,Mitsuhashi,Shiv,48099
Assistant Engineer,1985-04-18,222550,Wroclawski,Sadok,40000
Assistant Engineer,1985-04-22,247400,Chappelet,Huei,40000
Assistant Engineer,1985-04-27,264311,Muniz,Christoper,42966
Assistant Engineer,1985-04-28,214445,Decleir,Shaw,40000
Assistant Engineer,1985-05-01,72923,Decaestecker,Zhenbing,40000
Assistant Engineer,1985-05-01,103938,Frolund,Toshimi,40000
Assistant Engineer,1985-05-02,95393,Magliocco,Udaiprakash,40000
Assistant Engineer,1985-05-03,477985,Mattern,Beshir,40000
Assistant Engineer,1985-05-04,282508,Merel,Juyoung,54130
Assistant Engineer,1985-05-05,65669,Muhlberg,Rafail,51364
Assistant Engineer,1985-05-05,222339,Grabner,Junichi,44548
Assistant Engineer,1985-05-06,244229,Melichar,Kristina,40000
Assistant Engineer,1985-05-12,64510,Radwan,Sachio,57060
Assistant Engineer,1985-05-12,236019,Gerlach,Nishit,66788
Assistant Engineer,1985-05-13,12069,Burnard,Ayonca,51928
Assistant Engineer,1985-05-16,439704,Jording,Youssef,50330
Assistant Engineer,1985-05-17,10258,Ishibashi,Basil,66280
Assistant Engineer,1985-05-17,30856,Lampe,Chaosheng,40000
Assistant Engineer,1985-05-19,275811,McAlpine,Sailaja,54185
Assistant Engineer,1985-05-20,257793,Kalafatis,Mitsuyuki,66402
Assistant Engineer,1985-05-20,455098,Kambil,Seshu,40000
Assistant Engineer,1985-05-22,436694,Rothe,Katsuo,40000
Assistant Engineer,1985-05-23,497431,Ruemmler,Mabo,40000
Assistant Engineer,1985-05-24,296475,Kleiser,Terresa,48863
Assistant Engineer,1985-05-24,422775,Emmart,Moto,40000
Assistant Engineer,1985-05-26,31404,Narlikar,Gererd,40000
Assistant Engineer,1985-05-26,41283,Tetzlaff,KayLiang,52746
Assistant Engineer,1985-05-26,292524,Dayang,Gladys,55856
Assistant Engineer,1985-05-30,477013,Peng,Kristina,70283
Assistant Engineer,1985-06-01,78940,Steenbeek,Thodoros,40000
Assistant Engineer,1985-06-03,497081,Ginneken,Zhanqiu,40000
Assistant Engineer,1985-06-04,30454,Plessier,Pradeep,40000
